n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
797,Iteracao 797,0.004399,0.004,0.004
798,Iteracao 798,0.003851,0.0035,0.0033
799,Iteracao 799,0.009272,0.0086,0.0086
800,Iteracao 800,0.004442,0.0041,0.0041
801,Iteracao 801,0.005259,0.0048,0.0048
802,Iteracao 802,0.013263,0.0125,0.0124
803,Iteracao 803,0.005808,0.0055,0.0054
804,Iteracao 804,0.012402,0.0113,0.0113
805,Iteracao 805,0.004012,0.0036,0.0037
806,Iteracao 806,0.00698,0.0065,0.0065
807,Iteracao 807,1.34828,1.2593,1.2621
808,Iteracao 808,0.019081,0.0173,0.0163
809,Iteracao 809,0.002539,0.0022,0.0022
810,Iteracao 810,0.160431,0.1508,0.1528
811,Iteracao 811,0.013951,0.0134,0.0134
812,Iteracao 812,0.011347,0.0107,0.0107
813,Iteracao 813,0.018587,0.0174,0.0175
814,Iteracao 814,0.019372,0.0182,0.0186
815,Iteracao 815,0.003679,0.0032,0.0032
816,Iteracao 816,0.126336,0.1185,0.1194
817,Iteracao 817,0.004034,0.0038,0.0038
818,Iteracao 818,0.083135,0.0779,0.0784
819,Iteracao 819,0.073035,0.0686,0.069
820,Iteracao 820,0.002216,0.002,0.002
821,Iteracao 821,0.038797,0.0367,0.0371
822,Iteracao 822,0.064376,0.0609,0.0618
823,Iteracao 823,0.005066,0.0046,0.0044
824,Iteracao 824,0.004292,0.004,0.0039
825,Iteracao 825,0.004001,0.0037,0.0036
826,Iteracao 826,0.01294,0.012,0.012
827,Iteracao 827,0.003539,0.0032,0.0032
828,Iteracao 828,0.004217,0.0035,0.0035
829,Iteracao 829,0.008175,0.0075,0.0077
830,Iteracao 830,0.002528,0.0023,0.0022
831,Iteracao 831,0.008509,0.0079,0.0079
832,Iteracao 832,0.005894,0.0046,0.004
833,Iteracao 833,0.004958,0.0046,0.0046
834,Iteracao 834,0.002377,0.0022,0.0022
835,Iteracao 835,0.003625,0.0035,0.0034
836,Iteracao 836,0.004109,0.0038,0.0037
837,Iteracao 837,0.002248,0.0021,0.002
838,Iteracao 838,0.005862,0.0055,0.0054
839,Iteracao 839,0.002775,0.0026,0.0026
840,Iteracao 840,0.001775,0.0016,0.0016
841,Iteracao 841,0.00243,0.0022,0.0022
842,Iteracao 842,0.009079,0.0086,0.0088
843,Iteracao 843,0.002775,0.0026,0.0023
844,Iteracao 844,0.012961,0.0118,0.0117
845,Iteracao 845,0.071679,0.0677,0.0684
846,Iteracao 846,0.003173,0.0029,0.0029
847,Iteracao 847,0.204304,0.191,0.1919
848,Iteracao 848,0.208069,0.1942,0.1949
849,Iteracao 849,0.003367,0.003,0.0031
850,Iteracao 850,0.09245,0.0873,0.0883
851,Iteracao 851,0.004636,0.0042,0.0043
852,Iteracao 852,0.01622,0.0151,0.0151
853,Iteracao 853,0.0057,0.0053,0.0052
854,Iteracao 854,0.011337,0.0104,0.0103
855,Iteracao 855,0.00298,0.0028,0.0028
856,Iteracao 856,0.002452,0.0023,0.0022
857,Iteracao 857,0.006346,0.0059,0.0059
858,Iteracao 858,0.002484,0.0023,0.0023
859,Iteracao 859,0.005583,0.0051,0.0051
