rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 312 0 0.217179100 62 32
L 0 313 0 0.217185524 0 32
L 0 314 0 0.217191327 1 32
L 0 315 0 0.217192270 2 32
L 0 316 0 0.217193948 3 32
L 0 317 0 0.217654547 63 32
L 0 318 0 0.217662826 0 32
L 0 319 0 0.217669001 1 32
L 0 320 0 0.217669903 2 32
L 0 321 0 0.217670815 3 32
L 0 322 0 0.217828219 64 32
L 0 323 0 0.217831742 0 32
L 0 324 0 0.217834167 1 32
L 0 325 0 0.217835037 2 32
L 0 326 0 0.217836322 3 32
L 0 327 0 0.217889757 65 32
L 0 328 0 0.217891291 0 32
L 0 329 0 0.217893208 1 32
L 0 330 0 0.217894172 2 32
L 0 331 0 0.217897021 3 32
L 0 332 0 0.217944281 66 32
L 0 333 0 0.217945462 0 32
L 0 334 0 0.217948757 1 32
L 0 335 0 0.217949690 2 32
L 0 336 0 0.217951441 3 32
L 0 337 0 0.218113280 67 32
L 0 338 0 0.218115373 0 32
L 0 339 0 0.218117943 1 32
L 0 340 0 0.218118751 2 32
L 0 341 0 0.218120461 3 32
L 0 342 0 0.218296247 68 32
L 0 343 0 0.218300039 0 32
L 0 344 0 0.218302744 1 32
L 0 345 0 0.218303676 2 32
L 0 346 0 0.218305583 3 32
L 0 347 0 0.218519417 69 32
L 0 348 0 0.218522443 0 32
L 0 349 0 0.218524671 1 32
L 0 350 0 0.218525914 2 32
L 0 351 0 0.218527178 3 32
L 0 352 0 0.218632557 70 32
L 0 353 0 0.218635158 0 32
L 0 354 0 0.218638111 1 32
L 0 355 0 0.218638971 2 32
L 0 356 0 0.218640794 3 32
L 0 357 0 0.218741821 71 32
L 0 358 0 0.218743966 0 32
L 0 359 0 0.218746867 1 32
L 0 360 0 0.218747644 2 32
L 0 361 0 0.218748743 3 32
L 0 362 0 0.218966245 72 32
L 0 363 0 0.218969447 0 32
L 0 364 0 0.218972960 1 32
L 0 365 0 0.218973954 2 32
L 0 366 0 0.218975726 3 32
L 0 367 0 0.219201601 73 32
L 0 368 0 0.219203870 0 32
L 0 369 0 0.219206461 1 32
L 0 370 0 0.219207362 2 32
L 0 371 0 0.219208989 3 32
L 0 372 0 0.219311342 74 32
L 0 373 0 0.219313704 0 32
L 0 374 0 0.219316315 1 32
L 0 375 0 0.219317424 2 32
L 0 376 0 0.219318875 3 32
L 0 377 0 0.219520855 75 32
L 0 378 0 0.219527632 0 32
L 0 379 0 0.219530803 1 32
L 0 380 0 0.219531766 2 32
L 0 381 0 0.219532927 3 32
L 0 382 0 0.219675618 76 32
L 0 383 0 0.219677980 0 32
L 0 384 0 0.219680685 1 32
L 0 385 0 0.219681472 2 32
L 0 386 0 0.219682363 3 32
L 0 387 0 0.219781318 77 32
L 0 388 0 0.219783473 0 32
L 0 389 0 0.219786343 1 32
L 0 390 0 0.219787182 2 32
L 0 391 0 0.219789338 3 32
L 0 392 0 0.219894664 78 32
L 0 393 0 0.219897711 0 32
L 0 394 0 0.219903441 1 32
L 0 395 0 0.219904487 2 32
L 0 396 0 0.219906000 3 32
L 0 397 0 0.220002136 79 32
L 0 398 0 0.220004747 0 32
L 0 399 0 0.220006291 1 32
L 0 400 0 0.220007068 2 32
L 0 401 0 0.220008146 3 32
L 0 402 0 0.223688353 80 32
L 0 403 0 0.223700165 0 32
L 0 404 0 0.223706413 1 32
L 0 405 0 0.223707512 2 32
L 0 406 0 0.223708755 3 32
L 0 407 0 0.245928356 81 32
L 0 408 0 0.245939329 0 32
L 0 409 0 0.245944116 1 32
L 0 410 0 0.245944976 2 32
L 0 411 0 0.245946509 3 32
L 0 412 0 0.245987231 82 32
L 0 413 0 0.245987873 0 32
L 0 414 0 0.245989448 1 32
L 0 415 0 0.245990194 2 32
L 0 416 0 0.245991282 3 32
L 0 417 0 0.246624185 83 32
L 0 418 0 0.246628869 0 32
L 0 419 0 0.246632993 1 32
L 0 420 0 0.246634060 2 32
L 0 421 0 0.246636112 3 32
L 0 422 0 0.246839771 84 32
L 0 423 0 0.246842330 0 32
L 0 424 0 0.246844796 1 32
L 0 425 0 0.246845822 2 32
L 0 426 0 0.246847584 3 32
L 0 427 0 0.246950672 85 32
L 0 428 0 0.246952972 0 32
L 0 429 0 0.246955376 1 32
L 0 430 0 0.246956195 2 32
L 0 431 0 0.246957014 3 32
L 0 432 0 0.247075417 86 32
L 0 433 0 0.247078681 0 32
L 0 434 0 0.247080805 1 32
L 0 435 0 0.247081737 2 32
L 0 436 0 0.247082991 3 32
L 0 437 0 0.247341433 87 32
L 0 438 0 0.247344966 0 32
L 0 439 0 0.247347525 1 32
L 0 440 0 0.247349390 2 32
L 0 441 0 0.247350437 3 32
